STATE/UT,Year,TYPE OF JAIL,"Number of Central Jails",Total Capacity of male Inmates,Total Capacity of female Inmates,Total Capacity of Inmates,Male Inmate population,Female Inmate population,Total Inmate population
A & N ISLANDS,2002,TOTAL,4,229,40,269,323,8,331
A & N ISLANDS,2003,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2003,DISTRICT JAIL,1,199,30,229,279,3,282
A & N ISLANDS,2003,SUB JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2003,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2003,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2003,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2003,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2003,OTHERS,3,30,10,40,14,0,14
A & N ISLANDS,2003,TOTAL,4,229,40,269,293,3,296
A & N ISLANDS,2004,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2004,DISTRICT JAIL,1,239,30,269,210,3,213
A & N ISLANDS,2004,SUB JAIL,3,30,10,40,8,0,8
A & N ISLANDS,2004,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2004,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2004,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2004,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2004,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2004,TOTAL,4,269,40,309,218,3,221
A & N ISLANDS,2005,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2005,DISTRICT JAIL,1,239,30,269,215,4,219
A & N ISLANDS,2005,SUB JAIL,3,30,10,40,5,0,5
A & N ISLANDS,2005,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2005,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2005,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2005,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2005,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2005,TOTAL,4,269,40,309,220,4,224
A & N ISLANDS,2006,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2006,DISTRICT JAIL,1,239,30,269,338,2,340
A & N ISLANDS,2006,SUB JAIL,3,30,10,40,6,0,6
A & N ISLANDS,2006,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2006,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2006,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2006,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2006,TOTAL,4,269,40,309,344,2,346
A & N ISLANDS,2007,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2007,DISTRICT JAIL,1,239,30,269,400,1,401
A & N ISLANDS,2007,SUB JAIL,3,30,10,40,11,1,12
A & N ISLANDS,2007,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2007,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2007,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2007,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2007,TOTAL,4,269,40,309,411,2,413
A & N ISLANDS,2008,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2008,DISTRICT JAIL,1,239,30,269,209,0,209
A & N ISLANDS,2008,SUB JAIL,3,30,10,40,12,0,12
A & N ISLANDS,2008,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2008,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2008,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2008,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2008,TOTAL,4,269,40,309,221,0,221
A & N ISLANDS,2009,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2009,DISTRICT JAIL,1,239,30,269,211,0,211
A & N ISLANDS,2009,SUB JAIL,3,30,10,40,17,0,17
A & N ISLANDS,2009,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2009,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2009,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2009,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2009,TOTAL,4,269,40,309,228,0,228
A & N ISLANDS,2010,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2010,DISTRICT JAIL,1,239,30,269,662,2,664
A & N ISLANDS,2010,SUB JAIL,3,30,10,40,24,0,24
A & N ISLANDS,2010,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2010,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2010,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2010,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2010,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2010,TOTAL,4,269,40,309,686,2,688
A & N ISLANDS,2011,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2011,DISTRICT JAIL,1,239,30,269,1095,6,1101
A & N ISLANDS,2011,SUB JAIL,3,30,10,40,17,1,18
A & N ISLANDS,2011,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2011,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2011,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2011,SPECIAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2011,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2011,TOTAL,4,269,40,309,1112,7,1119
A & N ISLANDS,2012,CENTRAL JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2012,DISTRICT JAIL,1,239,30,269,994,8,1002
A & N ISLANDS,2012,SUB JAIL,3,30,10,40,21,1,22
A & N ISLANDS,2012,WOMEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2012,BORSTAL SCHOOL,0,0,0,0,0,0,0
A & N ISLANDS,2012,OPEN JAIL,0,0,0,0,0,0,0
A & N ISLANDS,2012,SPECIAL JAIL,1,800,0,800,102,0,102
A & N ISLANDS,2012,OTHERS,0,0,0,0,0,0,0
A & N ISLANDS,2012,TOTAL,5,1069,40,1109,1117,9,1126
CHANDIGARH,2001,CENTRAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2001,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2001,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2001,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2001,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2001,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2001,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2001,OTHERS,1,960,40,1000,402,24,426
CHANDIGARH,2001,TOTAL,1,960,40,1000,402,24,426
CHANDIGARH,2002,CENTRAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2002,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2002,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2002,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2002,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2002,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2002,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2002,OTHERS,1,960,40,1000,433,23,456
CHANDIGARH,2002,TOTAL,1,960,40,1000,433,23,456
CHANDIGARH,2003,CENTRAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2003,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2003,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2003,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2003,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2003,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2003,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2003,OTHERS,1,960,40,1000,498,27,525
CHANDIGARH,2003,TOTAL,1,960,40,1000,498,27,525
CHANDIGARH,2004,CENTRAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2004,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2004,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2004,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2004,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2004,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2004,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2004,OTHERS,1,960,40,1000,518,31,549
CHANDIGARH,2004,TOTAL,1,960,40,1000,518,31,549
CHANDIGARH,2005,CENTRAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2005,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2005,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2005,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2005,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2005,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2005,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2005,OTHERS,1,960,40,1000,429,26,455
CHANDIGARH,2005,TOTAL,1,960,40,1000,429,26,455
CHANDIGARH,2006,CENTRAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2006,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2006,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2006,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2006,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2006,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2006,OTHERS,1,960,40,1000,412,26,438
CHANDIGARH,2006,TOTAL,1,960,40,1000,412,26,438
CHANDIGARH,2007,CENTRAL JAIL,1,960,40,1000,483,18,501
CHANDIGARH,2007,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2007,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2007,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2007,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2007,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2007,OTHERS,0,0,0,0,0,0,0
CHANDIGARH,2007,TOTAL,1,960,40,1000,483,18,501
CHANDIGARH,2008,CENTRAL JAIL,1,960,40,1000,509,17,526
CHANDIGARH,2008,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2008,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2008,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2008,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2008,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2008,OTHERS,0,0,0,0,0,0,0
CHANDIGARH,2008,TOTAL,1,960,40,1000,509,17,526
CHANDIGARH,2009,CENTRAL JAIL,1,960,40,1000,614,29,643
CHANDIGARH,2009,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2009,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2009,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2009,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2009,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2009,OTHERS,0,0,0,0,0,0,0
CHANDIGARH,2009,TOTAL,1,960,40,1000,614,29,643
CHANDIGARH,2010,CENTRAL JAIL,1,960,40,1000,611,29,640
CHANDIGARH,2010,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2010,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2010,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2010,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2010,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2010,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2010,OTHERS,0,0,0,0,0,0,0
CHANDIGARH,2010,TOTAL,1,960,40,1000,611,29,640
CHANDIGARH,2011,CENTRAL JAIL,1,940,60,1000,604,22,626
CHANDIGARH,2011,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2011,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2011,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2011,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2011,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2011,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2011,OTHERS,0,0,0,0,0,0,0
CHANDIGARH,2011,TOTAL,1,940,60,1000,604,22,626
CHANDIGARH,2012,CENTRAL JAIL,1,940,60,1000,693,41,734
CHANDIGARH,2012,DISTRICT JAIL,0,0,0,0,0,0,0
CHANDIGARH,2012,SUB JAIL,0,0,0,0,0,0,0
CHANDIGARH,2012,WOMEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2012,BORSTAL SCHOOL,0,0,0,0,0,0,0
CHANDIGARH,2012,OPEN JAIL,0,0,0,0,0,0,0
CHANDIGARH,2012,SPECIAL JAIL,0,0,0,0,0,0,0
CHANDIGARH,2012,OTHERS,0,0,0,0,0,0,0
CHANDIGARH,2012,TOTAL,1,940,60,1000,693,41,734
D & N HAVELI,2001,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2001,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2001,SUB JAIL,1,40,10,50,161,5,166
D & N HAVELI,2001,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2001,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2001,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2001,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2001,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2001,TOTAL,1,40,10,50,161,5,166
D & N HAVELI,2002,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2002,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2002,SUB JAIL,1,40,10,50,158,2,160
D & N HAVELI,2002,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2002,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2002,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2002,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2002,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2002,TOTAL,1,40,10,50,158,2,160
D & N HAVELI,2003,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2003,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2003,SUB JAIL,1,40,10,50,172,0,172
D & N HAVELI,2003,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2003,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2003,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2003,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2003,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2003,TOTAL,1,40,10,50,172,0,172
D & N HAVELI,2004,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2004,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2004,SUB JAIL,1,40,10,50,33,0,33
D & N HAVELI,2004,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2004,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2004,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2004,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2004,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2004,TOTAL,1,40,10,50,33,0,33
D & N HAVELI,2005,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2005,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2005,SUB JAIL,1,40,10,50,29,0,29
D & N HAVELI,2005,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2005,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2005,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2005,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2005,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2005,TOTAL,1,40,10,50,29,0,29
D & N HAVELI,2006,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2006,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2006,SUB JAIL,1,50,10,60,33,0,33
D & N HAVELI,2006,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2006,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2006,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2006,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2006,TOTAL,1,50,10,60,33,0,33
D & N HAVELI,2007,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2007,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2007,SUB JAIL,1,50,10,60,28,0,28
D & N HAVELI,2007,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2007,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2007,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2007,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2007,TOTAL,1,50,10,60,28,0,28
D & N HAVELI,2008,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2008,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2008,SUB JAIL,1,50,10,60,43,3,46
D & N HAVELI,2008,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2008,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2008,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2008,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2008,TOTAL,1,50,10,60,43,3,46
D & N HAVELI,2009,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2009,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2009,SUB JAIL,1,50,10,60,54,2,56
D & N HAVELI,2009,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2009,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2009,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2009,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2009,TOTAL,1,50,10,60,54,2,56
D & N HAVELI,2010,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2010,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2010,SUB JAIL,1,50,10,60,42,0,42
D & N HAVELI,2010,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2010,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2010,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2010,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2010,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2010,TOTAL,1,50,10,60,42,0,42
D & N HAVELI,2011,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2011,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2011,SUB JAIL,1,50,10,60,23,2,25
D & N HAVELI,2011,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2011,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2011,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2011,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2011,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2011,TOTAL,1,50,10,60,23,2,25
D & N HAVELI,2012,CENTRAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2012,DISTRICT JAIL,0,0,0,0,0,0,0
D & N HAVELI,2012,SUB JAIL,1,50,10,60,35,2,37
D & N HAVELI,2012,WOMEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2012,BORSTAL SCHOOL,0,0,0,0,0,0,0
D & N HAVELI,2012,OPEN JAIL,0,0,0,0,0,0,0
D & N HAVELI,2012,SPECIAL JAIL,0,0,0,0,0,0,0
D & N HAVELI,2012,OTHERS,0,0,0,0,0,0,0
D & N HAVELI,2012,TOTAL,1,50,10,60,35,2,37
DAMAN & DIU,2001,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2001,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2001,SUB JAIL,2,80,40,120,40,1,41
DAMAN & DIU,2001,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2001,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2001,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2001,SPECIAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2001,OTHERS,0,0,0,0,0,0,0
DAMAN & DIU,2001,TOTAL,2,80,40,120,40,1,41
DAMAN & DIU,2002,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2002,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2002,SUB JAIL,2,80,40,120,33,0,33
DAMAN & DIU,2002,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2002,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2002,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2002,SPECIAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2002,OTHERS,0,0,0,0,0,0,0
DAMAN & DIU,2002,TOTAL,2,80,40,120,33,0,33
DAMAN & DIU,2003,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2003,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2003,SUB JAIL,2,80,40,120,33,0,33
DAMAN & DIU,2003,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2003,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2003,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2003,SPECIAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2003,OTHERS,0,0,0,0,0,0,0
DAMAN & DIU,2003,TOTAL,2,80,40,120,33,0,33
DAMAN & DIU,2004,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2004,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2004,SUB JAIL,2,80,40,120,26,1,27
DAMAN & DIU,2004,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2004,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2004,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2004,SPECIAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2004,OTHERS,0,0,0,0,0,0,0
DAMAN & DIU,2004,TOTAL,2,80,40,120,26,1,27
DAMAN & DIU,2005,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2005,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2005,SUB JAIL,2,80,40,120,34,1,35
DAMAN & DIU,2005,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2005,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2005,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2005,SPECIAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2005,OTHERS,0,0,0,0,0,0,0
DAMAN & DIU,2005,TOTAL,2,80,40,120,34,1,35
DAMAN & DIU,2006,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2006,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2006,SUB JAIL,2,80,40,120,53,1,54
DAMAN & DIU,2006,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2006,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2006,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2006,SPECIAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2006,OTHERS,0,0,0,0,0,0,0
DAMAN & DIU,2006,TOTAL,2,80,40,120,53,1,54
DAMAN & DIU,2007,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2007,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2007,SUB JAIL,2,80,40,120,60,6,66
DAMAN & DIU,2007,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2007,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2007,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2007,SPECIAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2007,OTHERS,0,0,0,0,0,0,0
DAMAN & DIU,2007,TOTAL,2,80,40,120,60,6,66
DAMAN & DIU,2008,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2008,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2008,SUB JAIL,2,80,40,120,40,3,43
DAMAN & DIU,2008,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2008,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2008,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2008,SPECIAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2008,OTHERS,0,0,0,0,0,0,0
DAMAN & DIU,2008,TOTAL,2,80,40,120,40,3,43
DAMAN & DIU,2009,CENTRAL JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2009,DISTRICT JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2009,SUB JAIL,2,80,40,120,39,1,40
DAMAN & DIU,2009,WOMEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2009,BORSTAL SCHOOL,0,0,0,0,0,0,0
DAMAN & DIU,2009,OPEN JAIL,0,0,0,0,0,0,0
DAMAN & DIU,2009,SPECIAL JAIL,0,0,0,0,0,0,0
